r_case_index_id,direct_contact,contact_of_contact
SYN001,6,8
SYN002,9,14
SYN003,12,21
SYN004,7,4
SYN005,18,35
SYN006,5,0
SYN007,14,18
SYN008,11,27
SYN009,22,42
SYN010,8,11
SYN011,16,30
SYN012,10,7
SYN013,25,55
SYN014,13,16
SYN015,7,22
SYN016,19,28
SYN017,28,64
SYN018,9,3
SYN019,15,24
SYN020,12,39
SYN021,6,15
SYN022,21,47
SYN023,17,20
SYN024,8,6
SYN025,31,72
SYN026,11,13
SYN027,14,33
SYN028,20,29
SYN029,5,9
SYN030,24,51
SYN031,9,19
SYN032,18,26
SYN033,13,41
SYN034,7,12
SYN035,26,58
SYN036,10,16
SYN037,16,23
SYN038,12,31
SYN039,34,80
SYN040,8,5
SYN041,22,36
SYN042,15,44
SYN043,6,2
SYN044,19,53
SYN045,11,18
SYN046,27,61
SYN047,9,25
SYN048,14,10
SYN049,23,49
SYN050,17,32

